repo,tests,ilogger,httpclient,iconfiguration,iserviceprovider,other,mode1_total,mode1_covered,mode1_uncovered,mode1_unknown_line,mode1_unknown_file,lines_valid,lines_covered,line_coverage_pct
abp,1358,505,24,23,460,0,1012,192,445,5,370,124405,52304,42.04
aspnetcore,31603,277,32,53,561,0,923,314,403,3,203,487101,313518,64.36
Avalonia,6860,0,0,0,0,0,0,0,0,0,0,227435,166601,73.25
duplicati,1096,0,13,0,8,0,21,0,21,0,0,95631,34597,36.18
efcore,13724,0,0,0,13,0,13,11,1,0,1,917358,251120,27.37
eShop,,77,8,3,6,0,94,4,30,0,60,6439,898,13.95
garnet,3563,688,0,0,0,0,688,179,499,0,10,154295,101817,65.99
jellyfin,2740,1179,1,7,12,0,1199,153,1046,0,0,173440,96998,55.93
OpenRA,473,0,13,0,0,0,13,0,13,0,0,92028,5379,5.84
orleans,11041,47,0,30,213,0,290,154,98,0,38,169949,68783,40.47
roslyn,155997,110,0,0,0,0,110,4,6,0,100,4011781,3406698,84.92
runtime,6012,0,26,0,7,0,33,1,0,0,32,239638,35546,14.83
semantic-kernel,6263,239,65,6,273,0,583,31,458,11,83,145805,39721,27.24
server,5118,76,0,1,95,0,172,44,127,0,1,992063,34078,3.44
StockSharp,4107,0,3,0,0,0,3,0,0,0,3,161688,50061,30.96
