target_id,repo,file,line,containing_type,method,receiver_type,kind
eShop:0003,eShop,src/Ordering.API/Apis/OrdersApi.cs,34,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
eShop:0004,eShop,src/Ordering.API/Apis/OrdersApi.cs,63,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
eShop:0014,eShop,src/Ordering.API/Application/Commands/CreateOrderCommandHandler.cs,47,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
eShop:0015,eShop,src/Ordering.API/Application/Commands/IdentifiedCommandHandler.cs,79,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
garnet:0021,garnet,libs/cluster/Server/ClusterManager.cs,76,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
garnet:0022,garnet,libs/cluster/Server/ClusterManager.cs,78,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
garnet:0025,garnet,libs/cluster/Server/ClusterManager.cs,97,Microsoft.Extensions.Logging.LoggerExtensions,LogTrace,Microsoft.Extensions.Logging.ILogger,Extension
garnet:0026,garnet,libs/cluster/Server/ClusterManager.cs,104,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
garnet:0137,garnet,libs/cluster/Server/Migration/MigrationManager.cs,48,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
garnet:0138,garnet,libs/cluster/Server/Migration/MigrationManager.cs,49,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
garnet:0139,garnet,libs/cluster/Server/Migration/MigrationManager.cs,50,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
garnet:0140,garnet,libs/cluster/Server/Migration/MigrationManager.cs,51,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
garnet:0141,garnet,libs/cluster/Server/Migration/MigrationManager.cs,52,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
garnet:0142,garnet,libs/cluster/Server/Migration/MigrationManager.cs,53,Microsoft.Extensions.Logging.LoggerExtensions,LogInformation,Microsoft.Extensions.Logging.ILogger,Extension
