repo,file,line,receiver_type,method,kind,containing_type,coverage_status,hits
eShop,src/Basket.API/Repositories/RedisBasketRepository.cs,41,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Basket.API/Repositories/RedisBasketRepository.cs,46,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Catalog.API/Apis/CatalogApi.cs,274,Microsoft.Extensions.Logging.ILogger,LogDebug,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Catalog.API/Infrastructure/CatalogContextSeed.cs,33,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Catalog.API/Infrastructure/CatalogContextSeed.cs,39,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Catalog.API/Infrastructure/CatalogContextSeed.cs,72,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Catalog.API/IntegrationEvents/CatalogIntegrationEventService.cs,15,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Catalog.API/IntegrationEvents/CatalogIntegrationEventService.cs,23,Microsoft.Extensions.Logging.ILogger,LogError,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Catalog.API/IntegrationEvents/CatalogIntegrationEventService.cs,30,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Catalog.API/Services/CatalogAI.cs,66,Microsoft.Extensions.Logging.ILogger,LogTrace,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/ClientApp/Services/RequestProvider/RequestProvider.cs,24,System.Net.Http.HttpClient,GetAsync,NonVirtual,System.Net.Http.HttpClient,no_coverage_data,
eShop,src/ClientApp/Services/RequestProvider/RequestProvider.cs,43,System.Net.Http.HttpClient,PostAsync,NonVirtual,System.Net.Http.HttpClient,no_coverage_data,
eShop,src/ClientApp/Services/RequestProvider/RequestProvider.cs,61,System.Net.Http.HttpClient,PostAsync,NonVirtual,System.Net.Http.HttpClient,no_coverage_data,
eShop,src/ClientApp/Services/RequestProvider/RequestProvider.cs,80,System.Net.Http.HttpClient,PostAsync,NonVirtual,System.Net.Http.HttpClient,no_coverage_data,
eShop,src/ClientApp/Services/RequestProvider/RequestProvider.cs,98,System.Net.Http.HttpClient,PutAsync,NonVirtual,System.Net.Http.HttpClient,no_coverage_data,
eShop,src/ClientApp/Services/RequestProvider/RequestProvider.cs,109,System.Net.Http.HttpClient,DeleteAsync,NonVirtual,System.Net.Http.HttpClient,no_coverage_data,
eShop,src/eShop.ServiceDefaults/OpenApiOptionsExtensions.cs,172,Microsoft.Extensions.Configuration.IConfigurationSection?,Exists,Extension,Microsoft.Extensions.Configuration.ConfigurationExtensions,no_coverage_data,
eShop,src/eShop.ServiceDefaults/OpenApiOptionsExtensions.cs,177,Microsoft.Extensions.Configuration.IConfiguration,GetRequiredValue,Extension,Microsoft.Extensions.Configuration.ConfigurationExtensions,no_coverage_data,
eShop,src/eShop.ServiceDefaults/OpenApiOptionsExtensions.cs,178,Microsoft.Extensions.Configuration.IConfiguration,GetRequiredSection,Extension,Microsoft.Extensions.Configuration.ConfigurationExtensions,no_coverage_data,
eShop,src/EventBusRabbitMQ/RabbitMQEventBus.cs,37,Microsoft.Extensions.Logging.ILogger,LogTrace,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/EventBusRabbitMQ/RabbitMQEventBus.cs,44,Microsoft.Extensions.Logging.ILogger,LogTrace,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/EventBusRabbitMQ/RabbitMQEventBus.cs,92,Microsoft.Extensions.Logging.ILogger,LogTrace,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/EventBusRabbitMQ/RabbitMQEventBus.cs,172,Microsoft.Extensions.Logging.ILogger,LogWarning,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/EventBusRabbitMQ/RabbitMQEventBus.cs,187,Microsoft.Extensions.Logging.ILogger,LogTrace,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/EventBusRabbitMQ/RabbitMQEventBus.cs,190,System.IServiceProvider,CreateAsyncScope,Extension,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,no_coverage_data,
eShop,src/EventBusRabbitMQ/RabbitMQEventBus.cs,194,Microsoft.Extensions.Logging.ILogger,LogWarning,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/EventBusRabbitMQ/RabbitMQEventBus.cs,233,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/EventBusRabbitMQ/RabbitMQEventBus.cs,235,System.IServiceProvider,GetRequiredService,Extension,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,no_coverage_data,
eShop,src/EventBusRabbitMQ/RabbitMQEventBus.cs,243,Microsoft.Extensions.Logging.ILogger,LogTrace,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/EventBusRabbitMQ/RabbitMQEventBus.cs,267,Microsoft.Extensions.Logging.ILogger,LogTrace,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/EventBusRabbitMQ/RabbitMQEventBus.cs,289,Microsoft.Extensions.Logging.ILogger,LogError,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Identity.API/Quickstart/Consent/ConsentController.cs,159,Microsoft.Extensions.Logging.ILogger,LogError,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Identity.API/Quickstart/Home/HomeController.cs,32,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Identity.API/UsersSeed.cs,42,Microsoft.Extensions.Logging.ILogger,LogDebug,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Identity.API/UsersSeed.cs,49,Microsoft.Extensions.Logging.ILogger,LogDebug,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Identity.API/UsersSeed.cs,87,Microsoft.Extensions.Logging.ILogger,LogDebug,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Identity.API/UsersSeed.cs,94,Microsoft.Extensions.Logging.ILogger,LogDebug,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Apis/OrdersApi.cs,34,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Apis/OrdersApi.cs,63,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Apis/OrdersApi.cs,108,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Apis/OrdersApi.cs,126,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Apis/OrdersApi.cs,134,Microsoft.Extensions.Logging.ILogger,LogWarning,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Apis/OrdersApi.cs,148,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Apis/OrdersApi.cs,159,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Apis/OrdersApi.cs,163,Microsoft.Extensions.Logging.ILogger,LogWarning,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Application/Behaviors/LoggingBehavior.cs,9,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Application/Behaviors/TransactionBehavior.cs,59,Microsoft.Extensions.Logging.ILogger,LogError,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Application/Behaviors/ValidatorBehavior.cs,18,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Application/Commands/CreateOrderCommandHandler.cs,47,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Application/Commands/IdentifiedCommandHandler.cs,79,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Application/IntegrationEvents/EventHandling/GracePeriodConfirmedIntegrationEventHandler.cs,17,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Application/IntegrationEvents/EventHandling/GracePeriodConfirmedIntegrationEventHandler.cs,21,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Application/IntegrationEvents/EventHandling/OrderPaymentFailedIntegrationEventHandler.cs,14,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Application/IntegrationEvents/EventHandling/OrderPaymentSucceededIntegrationEventHandler.cs,14,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Application/IntegrationEvents/EventHandling/OrderStockConfirmedIntegrationEventHandler.cs,14,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Application/IntegrationEvents/EventHandling/OrderStockRejectedIntegrationEventHandler.cs,17,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Application/IntegrationEvents/OrderingIntegrationEventService.cs,19,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Application/IntegrationEvents/OrderingIntegrationEventService.cs,29,Microsoft.Extensions.Logging.ILogger,LogError,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Application/IntegrationEvents/OrderingIntegrationEventService.cs,38,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Application/Validations/CancelOrderCommandValidator.cs,11,Microsoft.Extensions.Logging.ILogger,LogTrace,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Application/Validations/CreateOrderCommandValidator.cs,20,Microsoft.Extensions.Logging.ILogger,LogTrace,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Application/Validations/IdentifiedCommandValidator.cs,11,Microsoft.Extensions.Logging.ILogger,LogTrace,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/Ordering.API/Application/Validations/ShipOrderCommandValidator.cs,11,Microsoft.Extensions.Logging.ILogger,LogTrace,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/OrderProcessor/Services/GracePeriodManagerService.cs,22,Microsoft.Extensions.Logging.ILogger,LogDebug,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/OrderProcessor/Services/GracePeriodManagerService.cs,23,Microsoft.Extensions.Logging.ILogger,LogDebug,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/OrderProcessor/Services/GracePeriodManagerService.cs,30,Microsoft.Extensions.Logging.ILogger,LogDebug,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/OrderProcessor/Services/GracePeriodManagerService.cs,40,Microsoft.Extensions.Logging.ILogger,LogDebug,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/OrderProcessor/Services/GracePeriodManagerService.cs,48,Microsoft.Extensions.Logging.ILogger,LogDebug,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
eShop,src/PaymentProcessor/IntegrationEvents/EventHandling/OrderStatusChangedToStockConfirmedIntegrationEventHandler.cs,30,Microsoft.Extensions.Logging.ILogger,LogInformation,Extension,Microsoft.Extensions.Logging.LoggerExtensions,no_coverage_data,
