target_id,repo,kind,receiver_type,receiver_family,method,transform,applicable,applied,reverted,build_ok,reason,reason_token,n_files_changed,seam_member_signature
abp:0147,abp,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0020,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0084,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0092,aspnetcore,Extension,Microsoft.Extensions.Configuration.IConfigurationBuilder,IConfigurationBuilder,Add,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0154,aspnetcore,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0179,aspnetcore,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0181,aspnetcore,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0189,aspnetcore,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0194,aspnetcore,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogDebug,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0197,aspnetcore,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogTrace,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0211,aspnetcore,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0220,aspnetcore,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0230,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetService,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0231,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetService,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0308,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetService,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0316,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0334,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetService,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0356,aspnetcore,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogDebug,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0358,aspnetcore,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogDebug,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0409,aspnetcore,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogError,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0441,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0456,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0458,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0469,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0476,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0477,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
