target_id,repo,kind,receiver_type,receiver_family,method,transform,applicable,applied,reverted,build_ok,reason,reason_token,n_files_changed,seam_member_signature
abp:0147,abp,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,parameterize_dependency,True,True,False,True,"parameterize_dependency applied: added overload BundleAsync(string, bool, ILoggerWrapper, string) delegating from the original signature on BundlingService.",applied,2,"void LogInformation(string?, params object?[])"
aspnetcore:0356,aspnetcore,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogDebug,parameterize_dependency,True,True,False,True,"parameterize_dependency applied: added overload ChangePasswordCoreAsync(TUser, string, string, ILoggerWrapper) delegating from the original signature on UserManager.",applied,2,"void LogDebug(EventId, string?, params object?[])"
aspnetcore:0669,aspnetcore,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogDebug,parameterize_dependency,False,False,False,,baseline_build_failed,baseline_build_failed,0,
duplicati:0004,duplicati,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,SendAsync,parameterize_dependency,True,True,False,True,"parameterize_dependency applied: added overload GetResponseUncheckedAsync(HttpRequestMessage, HttpCompletionOption, CancellationToken, IHttpClientWrapper) delegating from the original signature on JsonWebHelperHttpClient.",applied,2,"Task<HttpResponseMessage> SendAsync(HttpRequestMessage, HttpCompletionOption, CancellationToken)"
efcore:0007,efcore,Extension,System.IServiceProvider,IServiceProvider,GetService,parameterize_dependency,False,False,False,,receiver_not_in_method_scope,receiver_not_in_method_scope,0,
jellyfin:0006,jellyfin,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogError,parameterize_dependency,True,True,False,True,"parameterize_dependency applied: added overload CreateInstanceSafe(Type, ILoggerWrapper) delegating from the original signature on ApplicationHost.",applied,2,"void LogError(string?, params object?[])"
orleans:0116,orleans,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogDebug,parameterize_dependency,True,False,True,False,refactor_rejected: owning project no longer builds after the edit,applied_then_reverted,2,"void LogDebug(EventId, Exception?, string?, params object?[])"
semantic-kernel:0014,semantic-kernel,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogError,parameterize_dependency,True,True,False,True,"parameterize_dependency applied: added overload StreamChatMessageAsync(ChatHistory, ILoggerWrapper, PromptExecutionSettings?, Kernel?, CancellationToken) delegating from the original signature on BedrockChatCompletionClient.",applied,2,"void LogError(Exception?, string?, params object?[])"
semantic-kernel:0125,semantic-kernel,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,Dispose,parameterize_dependency,True,True,False,True,parameterize_dependency applied: added overload Dispose(IHttpMessageInvokerWrapper) delegating from the original signature on HuggingFaceEmbeddingGenerator.,applied,2,void Dispose()
server:0053,server,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,parameterize_dependency,True,True,False,True,"parameterize_dependency applied: added overload UpdateTaxInformation(ISubscriber, TaxInformation, ILoggerWrapper) delegating from the original signature on SubscriberService.",applied,2,"void LogWarning(string?, params object?[])"
