target_id,repo,kind,receiver_type,receiver_family,method,transform,applicable,applied,reverted,build_ok,reason,reason_token,n_files_changed,seam_member_signature
abp:0147,abp,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,wrapper_interface,True,True,False,True,wrapper_interface applied: injected ILoggerWrapper via ctor param 'loggerWrapper' on BundlingService; rewrote 7 call site(s).,applied,2,"void LogInformation(string?, params object?[])"
aspnetcore:0356,aspnetcore,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogDebug,wrapper_interface,True,True,False,True,wrapper_interface applied: injected ILoggerWrapper via ctor param 'loggerWrapper' on UserManager; rewrote 14 call site(s).,applied,2,"void LogDebug(EventId, string?, params object?[])"
aspnetcore:0669,aspnetcore,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogDebug,wrapper_interface,False,False,False,,baseline_build_failed,baseline_build_failed,0,
duplicati:0004,duplicati,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,SendAsync,wrapper_interface,False,False,False,,primary_ctor,primary_ctor,0,
efcore:0007,efcore,Extension,System.IServiceProvider,IServiceProvider,GetService,wrapper_interface,False,False,False,,no_receiver_source,no_receiver_source,0,
jellyfin:0006,jellyfin,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogError,wrapper_interface,True,True,False,True,wrapper_interface applied: injected ILoggerWrapper via ctor param 'loggerWrapper' on ApplicationHost; rewrote 3 call site(s).,applied,2,"void LogError(string?, params object?[])"
orleans:0116,orleans,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogDebug,wrapper_interface,True,False,True,False,refactor_rejected: owning project no longer builds after the edit,applied_then_reverted,2,"void LogDebug(EventId, Exception?, string?, params object?[])"
semantic-kernel:0014,semantic-kernel,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogError,wrapper_interface,True,True,False,True,wrapper_interface applied: injected ILoggerWrapper via ctor param 'loggerWrapper' on BedrockChatCompletionClient; rewrote 2 call site(s).,applied,2,"void LogError(Exception?, string?, params object?[])"
semantic-kernel:0125,semantic-kernel,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,Dispose,wrapper_interface,False,False,False,,multiple_ctors,multiple_ctors,0,
server:0053,server,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,wrapper_interface,False,False,False,,primary_ctor,primary_ctor,0,
