target_id,repo,kind,receiver_type,receiver_family,method,transform,applicable,applied,reverted,build_ok,reason,reason_token,n_files_changed,seam_member_signature
OpenRA:0003,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,parameterize_dependency,False,False,False,,receiver_not_in_method_scope,receiver_not_in_method_scope,0,
OpenRA:0006,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,parameterize_dependency,False,False,False,,unbound_receiver,unbound_receiver,0,
OpenRA:0007,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,PostAsync,parameterize_dependency,False,False,False,,unbound_receiver,unbound_receiver,0,
OpenRA:0008,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,parameterize_dependency,False,False,False,,unbound_receiver,unbound_receiver,0,
OpenRA:0010,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,parameterize_dependency,False,False,False,,unbound_receiver,unbound_receiver,0,
OpenRA:0012,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,parameterize_dependency,False,False,False,,unbound_receiver,unbound_receiver,0,
OpenRA:0013,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,parameterize_dependency,False,False,False,,unbound_receiver,unbound_receiver,0,
abp:0054,abp,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,True,True,False,True,"parameterize_dependency applied: added overload ShouldWriteAuditLogAsync(AuditLogInfo, IServiceProvider, bool, IServiceProviderWrapper) delegating from the original signature on AbpAuditHubFilter.",applied,2,T GetRequiredService<T>()
abp:0059,abp,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,True,True,False,True,"parameterize_dependency applied: added overload HandleDynamicClaimsPrincipalAsync(ClaimsPrincipal?, IServiceProvider, HubCallerContext, bool, IServiceProviderWrapper) delegating from the original signature on AbpAuthenticationHubFilter.",applied,2,T GetRequiredService<T>()
abp:0100,abp,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,False,False,False,,unbound_receiver,unbound_receiver,0,
abp:0112,abp,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,False,False,False,,unbound_receiver,unbound_receiver,0,
abp:0147,abp,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,parameterize_dependency,True,True,False,True,"parameterize_dependency applied: added overload BundleAsync(string, bool, ILoggerWrapper, string) delegating from the original signature on BundlingService.",applied,2,"void LogInformation(string?, params object?[])"
abp:0158,abp,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,parameterize_dependency,True,True,False,True,"parameterize_dependency applied: added overload LogNewVersionInfo(UpdateChannel, SemanticVersion, string, ILoggerWrapper, string) delegating from the original signature on CliService.",applied,2,"void LogWarning(string?, params object?[])"
abp:0167,abp,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,parameterize_dependency,True,True,False,True,"parameterize_dependency applied: added overload ExecuteAsync(CommandLineArgs, ILoggerWrapper) delegating from the original signature on CleanCommand.",applied,2,"void LogInformation(string?, params object?[])"
abp:0180,abp,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,parameterize_dependency,True,True,False,True,"parameterize_dependency applied: added overload ExecuteAsync(CommandLineArgs, ILoggerWrapper) delegating from the original signature on GenerateRazorPage.",applied,2,"void LogInformation(string?, params object?[])"
