target_id,repo,kind,receiver_type,receiver_family,method,transform,applicable,applied,reverted,build_ok,reason,reason_token,n_files_changed,seam_member_signature
OpenRA:0003,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,wrapper_interface,False,False,False,,no_receiver_source,no_receiver_source,0,
OpenRA:0006,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,wrapper_interface,False,False,False,,unbound_receiver,unbound_receiver,0,
OpenRA:0007,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,PostAsync,wrapper_interface,False,False,False,,unbound_receiver,unbound_receiver,0,
OpenRA:0008,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,wrapper_interface,False,False,False,,unbound_receiver,unbound_receiver,0,
OpenRA:0010,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,wrapper_interface,False,False,False,,unbound_receiver,unbound_receiver,0,
OpenRA:0012,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,wrapper_interface,False,False,False,,unbound_receiver,unbound_receiver,0,
OpenRA:0013,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,wrapper_interface,False,False,False,,unbound_receiver,unbound_receiver,0,
abp:0054,abp,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,False,False,False,,no_receiver_source,no_receiver_source,0,
abp:0059,abp,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,False,False,False,,no_receiver_source,no_receiver_source,0,
abp:0100,abp,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,False,False,False,,unbound_receiver,unbound_receiver,0,
abp:0112,abp,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,False,False,False,,unbound_receiver,unbound_receiver,0,
abp:0147,abp,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,wrapper_interface,True,True,False,True,wrapper_interface applied: injected ILoggerWrapper via ctor param 'loggerWrapper' on BundlingService; rewrote 7 call site(s).,applied,2,"void LogInformation(string?, params object?[])"
abp:0158,abp,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,wrapper_interface,True,True,False,True,wrapper_interface applied: injected ILoggerWrapper via ctor param 'loggerWrapper' on CliService; rewrote 12 call site(s).,applied,2,"void LogWarning(string?, params object?[])"
abp:0167,abp,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,wrapper_interface,True,True,False,True,wrapper_interface applied: injected ILoggerWrapper via ctor param 'loggerWrapper' on CleanCommand; rewrote 6 call site(s).,applied,2,"void LogInformation(string?, params object?[])"
abp:0180,abp,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,wrapper_interface,True,True,False,True,wrapper_interface applied: injected ILoggerWrapper via ctor param 'loggerWrapper' on GenerateRazorPage; rewrote 6 call site(s).,applied,2,"void LogInformation(string?, params object?[])"
abp:0192,abp,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,wrapper_interface,True,True,False,True,wrapper_interface applied: injected ILoggerWrapper via ctor param 'loggerWrapper' on HelpCommand; rewrote 3 call site(s).,applied,2,"void LogInformation(string?, params object?[])"
abp:0195,abp,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,wrapper_interface,True,True,False,True,wrapper_interface applied: injected ILoggerWrapper via ctor param 'loggerWrapper' on ListModulesCommand; rewrote 1 call site(s).,applied,2,"void LogInformation(string?, params object?[])"
abp:0204,abp,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogError,wrapper_interface,True,True,False,True,wrapper_interface applied: injected ILoggerWrapper via ctor param 'loggerWrapper' on LoginCommand; rewrote 5 call site(s).,applied,2,"void LogError(string?, params object?[])"
