target_id,repo,kind,receiver_type,receiver_family,method,transform,applicable,applied,reverted,build_ok,reason,reason_token,n_files_changed,seam_member_signature
abp:0158,abp,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,wrapper_interface,False,False,False,,site_not_found,site_not_found,0,
abp:0317,abp,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,wrapper_interface,False,False,False,,site_not_found,site_not_found,0,
abp:0330,abp,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,wrapper_interface,False,False,False,,site_not_found,site_not_found,0,
abp:0336,abp,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,wrapper_interface,False,False,False,,site_not_found,site_not_found,0,
abp:0371,abp,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,wrapper_interface,False,False,False,,site_not_found,site_not_found,0,
abp:0429,abp,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogCritical,wrapper_interface,False,False,False,,site_not_found,site_not_found,0,
abp:0446,abp,Extension,System.IServiceProvider,IServiceProvider,CreateScope,wrapper_interface,False,False,False,,site_not_found,site_not_found,0,
abp:0447,abp,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,False,False,False,,site_not_found,site_not_found,0,
abp:0528,abp,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0092,aspnetcore,Extension,Microsoft.Extensions.Configuration.IConfigurationBuilder,IConfigurationBuilder,Add,wrapper_interface,False,False,False,,baseline_build_failed,baseline_build_failed,0,
aspnetcore:0334,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetService,wrapper_interface,False,False,False,,baseline_build_failed,baseline_build_failed,0,
duplicati:0013,duplicati,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,False,False,False,,site_not_found,site_not_found,0,
duplicati:0014,duplicati,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,False,False,False,,site_not_found,site_not_found,0,
duplicati:0017,duplicati,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,False,False,False,,site_not_found,site_not_found,0,
garnet:0036,garnet,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogTrace,wrapper_interface,False,False,False,,baseline_build_failed,baseline_build_failed,0,
garnet:0054,garnet,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,wrapper_interface,False,False,False,,baseline_build_failed,baseline_build_failed,0,
garnet:0060,garnet,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,wrapper_interface,False,False,False,,baseline_build_failed,baseline_build_failed,0,
garnet:0062,garnet,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,wrapper_interface,False,False,False,,baseline_build_failed,baseline_build_failed,0,
garnet:0071,garnet,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,wrapper_interface,False,False,False,,baseline_build_failed,baseline_build_failed,0,
garnet:0090,garnet,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,wrapper_interface,False,False,False,,baseline_build_failed,baseline_build_failed,0,
garnet:0114,garnet,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogError,wrapper_interface,False,False,False,,baseline_build_failed,baseline_build_failed,0,
garnet:0135,garnet,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogError,wrapper_interface,False,False,False,,baseline_build_failed,baseline_build_failed,0,
garnet:0146,garnet,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogTrace,wrapper_interface,False,False,False,,baseline_build_failed,baseline_build_failed,0,
garnet:0152,garnet,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,wrapper_interface,False,False,False,,baseline_build_failed,baseline_build_failed,0,
