target_id,repo,kind,receiver_type,receiver_family,method,transform,applicable,applied,reverted,build_ok,reason,reason_token,n_files_changed,seam_member_signature
OpenRA:0006,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,parameterize_dependency,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='client',unbound_receiver,0,
OpenRA:0007,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,PostAsync,parameterize_dependency,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='client',unbound_receiver,0,
OpenRA:0008,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,parameterize_dependency,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='client',unbound_receiver,0,
OpenRA:0010,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,parameterize_dependency,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='client',unbound_receiver,0,
OpenRA:0012,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,parameterize_dependency,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='httpClient',unbound_receiver,0,
OpenRA:0013,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,parameterize_dependency,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='client',unbound_receiver,0,
abp:0100,abp,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,True,False,True,False,refactor_rejected: owning project no longer builds after the edit,applied_then_reverted,2,T GetRequiredService<T>()
abp:0112,abp,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,False,False,False,,baseline_build_failed,baseline_build_failed,0,
aspnetcore:0020,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,True,False,True,False,refactor_rejected: owning project no longer builds after the edit,applied_then_reverted,2,T GetRequiredService<T>()
aspnetcore:0230,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetService,parameterize_dependency,False,False,False,,receiver_is_this,receiver_is_this,0,
aspnetcore:0231,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetService,parameterize_dependency,False,False,False,,receiver_is_this,receiver_is_this,0,
aspnetcore:0308,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetService,parameterize_dependency,True,True,False,True,"parameterize_dependency applied: added overload Create(EndpointFilterFactoryContext, EndpointFilterDelegate, IServiceProviderWrapper) delegating from the original signature on ValidationEndpointFilterFactory.",applied,2,T? GetService<T>()
aspnetcore:0316,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,True,False,True,False,refactor_rejected: owning project no longer builds after the edit,applied_then_reverted,2,T GetRequiredService<T>()
aspnetcore:0334,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetService,parameterize_dependency,False,False,False,,receiver_is_this,receiver_is_this,0,
aspnetcore:0441,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,False,False,False,,receiver_is_this,receiver_is_this,0,
aspnetcore:0456,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,False,False,False,,receiver_not_in_method_scope,receiver_not_in_method_scope,0,
aspnetcore:0469,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
aspnetcore:0476,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,True,True,False,True,"parameterize_dependency applied: added overload GetBinder(ModelBinderProviderContext, IServiceProviderWrapper) delegating from the original signature on DictionaryModelBinderProvider.",applied,2,T GetRequiredService<T>()
aspnetcore:0477,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,True,False,True,False,refactor_rejected: owning project no longer builds after the edit,applied_then_reverted,2,T GetRequiredService<T>()
aspnetcore:0489,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,True,False,True,False,refactor_rejected: owning project no longer builds after the edit,applied_then_reverted,2,T GetRequiredService<T>()
aspnetcore:0504,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,True,True,False,True,"parameterize_dependency applied: added overload ApplyAsync(HttpContext, CandidateSet, IServiceProviderWrapper) delegating from the original signature on DynamicControllerEndpointMatcherPolicy.",applied,2,object GetRequiredService(Type)
aspnetcore:0547,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,True,True,False,True,parameterize_dependency applied: added overload EnsureFileVersionProvider(IServiceProviderWrapper) delegating from the original signature on ScriptTagHelper.,applied,2,T GetRequiredService<T>()
aspnetcore:0553,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,False,False,False,,baseline_build_failed,baseline_build_failed,0,
aspnetcore:0556,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,False,False,False,,receiver_not_in_method_scope,receiver_not_in_method_scope,0,
aspnetcore:0565,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetService,parameterize_dependency,False,False,False,,receiver_not_in_method_scope,receiver_not_in_method_scope,0,
aspnetcore:0566,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,False,False,False,,receiver_not_in_method_scope,receiver_not_in_method_scope,0,
aspnetcore:0567,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,parameterize_dependency,False,False,False,,receiver_not_in_method_scope,receiver_not_in_method_scope,0,
duplicati:0010,duplicati,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,parameterize_dependency,False,False,False,,receiver_not_in_method_scope,receiver_not_in_method_scope,0,
