target_id,repo,kind,receiver_type,receiver_family,method,transform,applicable,applied,reverted,build_ok,reason,reason_token,n_files_changed,seam_member_signature
OpenRA:0006,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,wrapper_interface,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='client',unbound_receiver,0,
OpenRA:0007,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,PostAsync,wrapper_interface,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='client',unbound_receiver,0,
OpenRA:0008,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,wrapper_interface,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='client',unbound_receiver,0,
OpenRA:0010,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,wrapper_interface,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='client',unbound_receiver,0,
OpenRA:0012,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,wrapper_interface,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='httpClient',unbound_receiver,0,
OpenRA:0013,OpenRA,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,wrapper_interface,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='client',unbound_receiver,0,
abp:0100,abp,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,True,True,False,True,wrapper_interface applied: injected IServiceProviderWrapper via ctor param 'serviceProviderWrapper' on RequirePermissionsSimpleStateChecker; rewrote 1 call site(s).,applied,2,T GetRequiredService<T>()
abp:0112,abp,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,True,False,True,False,refactor_rejected: owning project no longer builds after the edit,applied_then_reverted,2,T GetRequiredService<T>()
aspnetcore:0020,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,True,False,True,False,refactor_rejected: owning project no longer builds after the edit,applied_then_reverted,2,T GetRequiredService<T>()
aspnetcore:0230,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetService,wrapper_interface,False,False,False,,receiver_is_this,receiver_is_this,0,
aspnetcore:0231,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetService,wrapper_interface,False,False,False,,receiver_is_this,receiver_is_this,0,
aspnetcore:0308,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetService,wrapper_interface,False,False,False,,static_method_no_instance,static_method_no_instance,0,
aspnetcore:0316,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,False,False,False,,static_method_no_instance,static_method_no_instance,0,
aspnetcore:0334,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetService,wrapper_interface,False,False,False,,receiver_is_this,receiver_is_this,0,
aspnetcore:0441,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,False,False,False,,baseline_build_failed,baseline_build_failed,0,
aspnetcore:0456,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,False,False,False,,no_receiver_source,no_receiver_source,0,
aspnetcore:0469,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,True,False,True,False,refactor_rejected: owning project no longer builds after the edit,applied_then_reverted,2,T GetRequiredService<T>()
aspnetcore:0476,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,True,False,True,False,refactor_rejected: owning project no longer builds after the edit,applied_then_reverted,2,T GetRequiredService<T>()
aspnetcore:0477,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,True,False,True,False,refactor_rejected: owning project no longer builds after the edit,applied_then_reverted,2,T GetRequiredService<T>()
aspnetcore:0489,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,True,False,True,False,refactor_rejected: owning project no longer builds after the edit,applied_then_reverted,2,T GetRequiredService<T>()
aspnetcore:0504,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,True,False,True,False,refactor_rejected: owning project no longer builds after the edit,applied_then_reverted,2,object GetRequiredService(Type)
aspnetcore:0547,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,True,False,True,False,refactor_rejected: owning project no longer builds after the edit,applied_then_reverted,2,T GetRequiredService<T>()
aspnetcore:0553,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,False,False,False,,no_receiver_source,no_receiver_source,0,
aspnetcore:0556,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,False,False,False,,no_receiver_source,no_receiver_source,0,
aspnetcore:0565,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetService,wrapper_interface,False,False,False,,no_receiver_source,no_receiver_source,0,
aspnetcore:0566,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,False,False,False,,baseline_build_failed,baseline_build_failed,0,
aspnetcore:0567,aspnetcore,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,False,False,False,,no_receiver_source,no_receiver_source,0,
duplicati:0010,duplicati,NonVirtual,System.Net.Http.HttpClient,HttpClient/HttpMessageInvoker,GetAsync,wrapper_interface,False,False,False,,no_receiver_source,no_receiver_source,0,
eShop:0007,eShop,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,wrapper_interface,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='services.Logger',unbound_receiver,0,
eShop:0009,eShop,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,wrapper_interface,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='services.Logger',unbound_receiver,0,
eShop:0010,eShop,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,wrapper_interface,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='services.Logger',unbound_receiver,0,
eShop:0016,eShop,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,wrapper_interface,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='logger' diags=[CS1061],unbound_receiver,0,
eShop:0022,eShop,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,wrapper_interface,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='_logger',unbound_receiver,0,
eShop:0024,eShop,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,wrapper_interface,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='_logger',unbound_receiver,0,
eShop:0026,eShop,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogTrace,wrapper_interface,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='logger' diags=[CS0120],unbound_receiver,0,
eShop:0027,eShop,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogTrace,wrapper_interface,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='logger' diags=[CS0120],unbound_receiver,0,
eShop:0028,eShop,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogTrace,wrapper_interface,False,False,False,,unbound_receiver: method_unbound candReason=None cands=0 recv='logger' diags=[CS0120],unbound_receiver,0,
jellyfin:0595,jellyfin,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,False,False,False,,static_method_no_instance,static_method_no_instance,0,
orleans:0011,orleans,Extension,System.IServiceProvider,IServiceProvider,GetRequiredService,wrapper_interface,False,False,False,,no_receiver_source,no_receiver_source,0,
semantic-kernel:0101,semantic-kernel,Extension,System.IServiceProvider,IServiceProvider,GetService,wrapper_interface,False,False,False,,no_receiver_source,no_receiver_source,0,
semantic-kernel:0276,semantic-kernel,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,wrapper_interface,False,False,False,,no_receiver_source,no_receiver_source,0,
server:0009,server,Extension,Microsoft.Extensions.DependencyInjection.IServiceScopeFactory,IServiceScopeFactory,CreateAsyncScope,wrapper_interface,True,True,False,True,wrapper_interface applied: injected IServiceScopeFactoryWrapper via ctor param 'serviceScopeFactoryWrapper' on ProjectRepository; rewrote 4 call site(s).,applied,2,AsyncServiceScope CreateAsyncScope()
server:0015,server,Extension,Microsoft.Extensions.DependencyInjection.IServiceScopeFactory,IServiceScopeFactory,CreateAsyncScope,wrapper_interface,True,True,False,True,wrapper_interface applied: injected IServiceScopeFactoryWrapper2 via ctor param 'serviceScopeFactoryWrapper2' on SecretRepository; rewrote 9 call site(s).,applied,2,AsyncServiceScope CreateAsyncScope()
server:0018,server,Extension,Microsoft.Extensions.DependencyInjection.IServiceScopeFactory,IServiceScopeFactory,CreateAsyncScope,wrapper_interface,False,False,False,,baseline_build_failed,baseline_build_failed,0,
server:0021,server,Extension,Microsoft.Extensions.DependencyInjection.IServiceScopeFactory,IServiceScopeFactory,CreateAsyncScope,wrapper_interface,True,True,False,True,wrapper_interface applied: injected IServiceScopeFactoryWrapper via ctor param 'serviceScopeFactoryWrapper' on SecretRepository; rewrote 9 call site(s).,applied,2,AsyncServiceScope CreateAsyncScope()
