repo,stars,seeded,total_hits,ilogger_total,httpclient_total,serviceprovider_total,iconfiguration_total,LogInformation,LogWarning,LogError,LogDebug,LogCritical,LogTrace,HttpClient.GetAsync,HttpClient.PostAsync,HttpClient.SendAsync,GetRequiredService<T>,GetValue<T>,GetConnectionString,Configuration.Bind,Configuration.GetSection
abpframework/abp,14246,yes,1179,259,40,788,92,84,100,40,33,1,1,25,8,7,788,22,45,3,22
dotnet/aspnetcore,37903,yes,1171,274,354,440,103,118,44,55,42,6,9,145,53,156,440,55,12,4,32
dotnet/roslyn,20397,yes,811,234,5,550,22,39,50,60,50,10,25,3,0,2,550,22,0,0,0
dotnet/runtime,17872,yes,765,370,183,68,144,123,58,145,23,9,12,71,15,97,68,58,4,12,70
dotnet/AspNetCore.Docs,13087,no,728,308,56,163,201,169,48,76,15,0,0,24,3,29,163,17,142,0,42
microsoft/semantic-kernel,27853,yes,645,155,51,228,211,37,26,32,25,0,35,9,8,34,228,126,1,0,84
Unity-Technologies/UnityCsReference,12810,no,607,604,0,0,3,1,256,347,0,0,0,0,0,0,0,3,0,0,0
microsoft/PowerToys,132915,no,542,517,2,16,7,0,140,246,87,0,44,0,0,2,16,6,1,0,0
bitwarden/server,18552,yes,463,305,59,61,38,94,96,99,14,0,2,29,11,19,61,16,0,0,22
jellyfin/jellyfin,51341,no,447,399,34,8,6,100,70,134,91,3,1,28,1,5,8,3,0,0,3
dotnet/orleans,10763,yes,405,142,0,205,58,104,7,19,9,1,2,0,0,0,205,13,35,1,9
babalae/better-genshin-impact,13484,no,399,346,33,14,6,103,74,92,77,0,0,5,7,21,14,5,0,0,1
unoplatform/uno,9930,no,368,324,18,11,15,19,86,107,91,0,21,9,4,5,11,15,0,0,0
files-community/Files,43307,no,356,75,4,266,11,18,46,4,7,0,0,3,1,0,266,11,0,0,0
dotnet/maui,23239,no,301,155,6,132,8,2,100,30,17,0,6,5,0,1,132,4,2,0,2
StockSharp/StockSharp,9869,no,298,95,1,0,202,0,29,46,20,0,0,1,0,0,0,202,0,0,0
microsoft/garnet,11818,no,287,282,0,0,5,50,42,118,21,18,33,0,0,0,0,5,0,0,0
Kareadita/Kavita,10497,no,264,246,0,17,1,52,20,73,43,48,10,0,0,0,17,0,0,0,1
mono/mono,11437,yes,250,19,0,7,224,3,8,6,0,2,0,0,0,0,7,75,13,0,136
dotnet/efcore,14644,yes,167,4,1,140,22,1,1,1,1,0,0,1,0,0,140,16,2,0,4
dodyg/practical-aspnetcore,10372,no,140,70,11,51,8,25,6,12,21,3,3,10,0,1,51,3,1,0,4
OpenRA/OpenRA,16671,no,112,2,10,0,100,0,1,1,0,0,0,9,1,0,0,100,0,0,0
AvaloniaUI/Avalonia,30701,no,97,6,8,68,15,0,1,5,0,0,0,8,0,0,68,15,0,0,0
SubtitleEdit/subtitleedit,12804,yes,88,39,46,3,0,0,0,39,0,0,0,7,34,5,3,0,0,0,0
duplicati/duplicati,14519,no,80,7,59,10,4,0,0,7,0,0,0,26,8,25,10,0,4,0,0
dotnet/eShop,10426,no,79,58,9,5,7,33,4,8,7,0,6,3,2,4,5,0,3,0,4
ardalis/CleanArchitecture,18162,no,67,45,1,12,9,32,5,7,1,0,0,0,1,0,12,1,5,0,3
Flow-Launcher/Flow.Launcher,14602,no,63,28,4,31,0,0,0,20,8,0,0,2,0,2,31,0,0,0,0
BeyondDimension/SteamTools,25364,no,55,26,13,12,4,7,6,9,2,1,1,4,2,7,12,4,0,0,0
LuckyPennySoftware/MediatR,11831,no,38,5,0,33,0,1,1,1,1,1,0,0,0,0,33,0,0,0,0
nopSolutions/nopCommerce,10058,no,32,0,25,5,2,0,0,0,0,0,0,8,4,13,5,1,0,0,1
rocksdanister/lively,18766,no,30,0,2,28,0,0,0,0,0,0,0,1,0,1,28,0,0,0,0
Tichau/FileConverter,14315,no,29,14,0,13,2,0,0,14,0,0,0,0,0,0,13,2,0,0,0
MudBlazor/MudBlazor,10384,no,29,7,1,13,8,0,4,1,1,0,1,1,0,0,13,8,0,0,0
App-vNext/Polly,14161,no,28,1,5,19,3,0,1,0,0,0,0,5,0,0,19,2,0,0,1
aspnetboilerplate/aspnetboilerplate,11979,no,27,5,2,15,5,1,0,4,0,0,0,0,0,2,15,1,4,0,0
Sonarr/Sonarr,13779,no,24,0,11,6,7,0,0,0,0,0,0,9,1,1,6,3,2,0,2
Radarr/Radarr,13587,no,24,1,11,6,6,0,0,1,0,0,0,9,1,1,6,2,2,0,2
DevToys-app/DevToys,31320,no,23,20,0,3,0,5,1,10,0,4,0,0,0,0,3,0,0,0,0
0x7c13/Notepads,10037,no,22,22,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0
nilaoda/BBDown,13833,no,21,17,4,0,0,0,0,5,12,0,0,0,2,2,0,0,0,0,0
Devolutions/UniGetUI,23586,no,19,0,12,0,7,0,0,0,0,0,0,8,2,2,0,7,0,0,0
chocolatey/choco,11364,no,18,17,0,0,1,4,4,5,4,0,0,0,0,0,0,0,0,0,1
Unity-Technologies/ml-agents,19379,no,16,16,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0
QuantConnect/Lean,18832,no,15,0,11,0,4,0,0,0,0,0,0,2,3,6,0,4,0,0,0
HangfireIO/Hangfire,10062,no,13,1,0,5,7,0,0,1,0,0,0,0,0,0,5,0,7,0,0
PowerShell/PowerShell,53325,no,11,3,3,0,5,2,0,1,0,0,0,2,0,1,0,0,3,0,2
MonoGame/MonoGame,13852,no,11,10,0,0,1,0,9,1,0,0,0,0,0,0,0,1,0,0,0
LuckyPennySoftware/AutoMapper,10184,no,11,6,0,3,2,2,1,1,1,1,0,0,0,0,3,1,1,0,0
jasontaylordev/CleanArchitecture,20025,no,10,5,0,4,1,2,1,2,0,0,0,0,0,0,4,0,1,0,0
ShareX/ShareX,37348,no,9,0,9,0,0,0,0,0,0,0,0,2,4,3,0,0,0,0,0
DapperLib/Dapper,18284,no,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,7,0,0
dotnet/BenchmarkDotNet,11414,no,9,5,1,0,3,0,3,2,0,0,0,1,0,0,0,3,0,0,0
File-New-Project/EarTrumpet,10981,no,9,5,0,0,4,0,5,0,0,0,0,0,0,0,0,4,0,0,0
Cysharp/UniTask,10786,no,9,9,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0
restsharp/RestSharp,9830,no,9,0,5,4,0,0,0,0,0,0,0,1,2,2,4,0,0,0,0
2dust/v2rayN,104787,no,8,0,5,0,3,0,0,0,0,0,0,5,0,0,0,3,0,0,0
NickeManarin/ScreenToGif,26894,no,7,0,7,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0
JosefNemec/Playnite,12961,no,6,3,3,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0
icsharpcode/ILSpy,25100,no,4,0,2,0,2,0,0,0,0,0,0,1,0,1,0,2,0,0,0
peass-ng/PEASS-ng,19803,no,4,0,3,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0
JustArchiNET/ArchiSteamFarm,13279,no,4,0,1,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,1
d2phap/ImageGlass,13043,no,4,0,1,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,1
