phase,model,run,attempts_total,non_submitted_total,category,count,infra_bucket
phase2-agentic,codestral-2501,1,300,58,timeout/connection,0,1
phase2-agentic,codestral-2501,1,300,58,auth/access,0,1
phase2-agentic,codestral-2501,1,300,58,rate-limit,0,1
phase2-agentic,codestral-2501,1,300,58,server-5xx,0,1
phase2-agentic,codestral-2501,1,300,58,api-version-unsupported,0,1
phase2-agentic,codestral-2501,1,300,58,baseline_compile_failed,0,0
phase2-agentic,codestral-2501,1,300,58,baseline_no_owning_csproj,0,0
phase2-agentic,codestral-2501,1,300,58,other,58,0
phase2-agentic,codestral-2501,2,300,64,timeout/connection,0,1
phase2-agentic,codestral-2501,2,300,64,auth/access,0,1
phase2-agentic,codestral-2501,2,300,64,rate-limit,0,1
phase2-agentic,codestral-2501,2,300,64,server-5xx,0,1
phase2-agentic,codestral-2501,2,300,64,api-version-unsupported,0,1
phase2-agentic,codestral-2501,2,300,64,baseline_compile_failed,0,0
phase2-agentic,codestral-2501,2,300,64,baseline_no_owning_csproj,0,0
phase2-agentic,codestral-2501,2,300,64,other,64,0
phase2-agentic,codestral-2501,3,300,65,timeout/connection,0,1
phase2-agentic,codestral-2501,3,300,65,auth/access,0,1
phase2-agentic,codestral-2501,3,300,65,rate-limit,0,1
phase2-agentic,codestral-2501,3,300,65,server-5xx,0,1
phase2-agentic,codestral-2501,3,300,65,api-version-unsupported,0,1
phase2-agentic,codestral-2501,3,300,65,baseline_compile_failed,0,0
phase2-agentic,codestral-2501,3,300,65,baseline_no_owning_csproj,0,0
phase2-agentic,codestral-2501,3,300,65,other,65,0
phase2-agentic,gpt-4.1-mini,1,300,265,timeout/connection,0,1
phase2-agentic,gpt-4.1-mini,1,300,265,auth/access,0,1
phase2-agentic,gpt-4.1-mini,1,300,265,rate-limit,6,1
phase2-agentic,gpt-4.1-mini,1,300,265,server-5xx,0,1
phase2-agentic,gpt-4.1-mini,1,300,265,api-version-unsupported,218,1
phase2-agentic,gpt-4.1-mini,1,300,265,baseline_compile_failed,38,0
phase2-agentic,gpt-4.1-mini,1,300,265,baseline_no_owning_csproj,3,0
phase2-agentic,gpt-4.1-mini,1,300,265,other,0,0
phase2-agentic,gpt-4.1-mini,2,300,268,timeout/connection,0,1
phase2-agentic,gpt-4.1-mini,2,300,268,auth/access,0,1
phase2-agentic,gpt-4.1-mini,2,300,268,rate-limit,9,1
phase2-agentic,gpt-4.1-mini,2,300,268,server-5xx,0,1
phase2-agentic,gpt-4.1-mini,2,300,268,api-version-unsupported,218,1
phase2-agentic,gpt-4.1-mini,2,300,268,baseline_compile_failed,38,0
phase2-agentic,gpt-4.1-mini,2,300,268,baseline_no_owning_csproj,3,0
phase2-agentic,gpt-4.1-mini,2,300,268,other,0,0
phase2-agentic,gpt-4.1-mini,3,300,271,timeout/connection,0,1
phase2-agentic,gpt-4.1-mini,3,300,271,auth/access,0,1
phase2-agentic,gpt-4.1-mini,3,300,271,rate-limit,12,1
phase2-agentic,gpt-4.1-mini,3,300,271,server-5xx,0,1
phase2-agentic,gpt-4.1-mini,3,300,271,api-version-unsupported,218,1
phase2-agentic,gpt-4.1-mini,3,300,271,baseline_compile_failed,38,0
phase2-agentic,gpt-4.1-mini,3,300,271,baseline_no_owning_csproj,3,0
phase2-agentic,gpt-4.1-mini,3,300,271,other,0,0
phase2-agentic,gpt-4.1-nano,1,300,279,timeout/connection,0,1
phase2-agentic,gpt-4.1-nano,1,300,279,auth/access,0,1
phase2-agentic,gpt-4.1-nano,1,300,279,rate-limit,8,1
phase2-agentic,gpt-4.1-nano,1,300,279,server-5xx,0,1
phase2-agentic,gpt-4.1-nano,1,300,279,api-version-unsupported,218,1
phase2-agentic,gpt-4.1-nano,1,300,279,baseline_compile_failed,38,0
phase2-agentic,gpt-4.1-nano,1,300,279,baseline_no_owning_csproj,3,0
phase2-agentic,gpt-4.1-nano,1,300,279,other,12,0
phase2-agentic,gpt-4.1-nano,2,300,281,timeout/connection,0,1
