scope,phase,category,count,share_of_non_submitted,share_of_attempts
phase_total,phase2-agentic,timeout/connection,0,0.0000,0.0000
phase_total,phase2-agentic,auth/access,0,0.0000,0.0000
phase_total,phase2-agentic,rate-limit,1471,0.6041,0.2335
phase_total,phase2-agentic,server-5xx,325,0.1335,0.0516
phase_total,phase2-agentic,api-version-unsupported,0,0.0000,0.0000
phase_total,phase2-agentic,baseline_compile_failed,0,0.0000,0.0000
phase_total,phase2-agentic,baseline_no_owning_csproj,0,0.0000,0.0000
phase_total,phase2-agentic,max-turns-exhausted,625,0.2567,0.0992
phase_total,phase2-agentic,context-length,4,0.0016,0.0006
phase_total,phase2-agentic,content-filter,5,0.0021,0.0008
phase_total,phase2-agentic,invalid-prompt,1,0.0004,0.0002
phase_total,phase2-agentic,adapter-parse-error,4,0.0016,0.0006
phase_total,phase2-agentic,other,0,0.0000,0.0000
phase_total,phase3-agentic-loop,timeout/connection,4,0.0072,0.0007
phase_total,phase3-agentic-loop,auth/access,0,0.0000,0.0000
phase_total,phase3-agentic-loop,rate-limit,450,0.8123,0.0833
phase_total,phase3-agentic-loop,server-5xx,1,0.0018,0.0002
phase_total,phase3-agentic-loop,api-version-unsupported,0,0.0000,0.0000
phase_total,phase3-agentic-loop,baseline_compile_failed,2,0.0036,0.0004
phase_total,phase3-agentic-loop,baseline_no_owning_csproj,0,0.0000,0.0000
phase_total,phase3-agentic-loop,max-turns-exhausted,83,0.1498,0.0154
phase_total,phase3-agentic-loop,context-length,5,0.0090,0.0009
phase_total,phase3-agentic-loop,content-filter,5,0.0090,0.0009
phase_total,phase3-agentic-loop,invalid-prompt,0,0.0000,0.0000
phase_total,phase3-agentic-loop,adapter-parse-error,4,0.0072,0.0007
phase_total,phase3-agentic-loop,other,0,0.0000,0.0000
phase_total,phase4-refactoring,timeout/connection,0,0.0000,0.0000
phase_total,phase4-refactoring,auth/access,0,0.0000,0.0000
phase_total,phase4-refactoring,rate-limit,3,0.0015,0.0006
phase_total,phase4-refactoring,server-5xx,0,0.0000,0.0000
phase_total,phase4-refactoring,api-version-unsupported,696,0.3524,0.1329
phase_total,phase4-refactoring,baseline_compile_failed,1170,0.5924,0.2234
phase_total,phase4-refactoring,baseline_no_owning_csproj,54,0.0273,0.0103
phase_total,phase4-refactoring,max-turns-exhausted,49,0.0248,0.0094
phase_total,phase4-refactoring,context-length,0,0.0000,0.0000
phase_total,phase4-refactoring,content-filter,3,0.0015,0.0006
phase_total,phase4-refactoring,invalid-prompt,0,0.0000,0.0000
phase_total,phase4-refactoring,adapter-parse-error,0,0.0000,0.0000
phase_total,phase4-refactoring,other,0,0.0000,0.0000
all_phases_total,all,timeout/connection,4,0.0008,0.0002
all_phases_total,all,auth/access,0,0.0000,0.0000
all_phases_total,all,rate-limit,1924,0.3876,0.1136
all_phases_total,all,server-5xx,326,0.0657,0.0192
all_phases_total,all,api-version-unsupported,696,0.1402,0.0411
all_phases_total,all,baseline_compile_failed,1172,0.2361,0.0692
all_phases_total,all,baseline_no_owning_csproj,54,0.0109,0.0032
all_phases_total,all,max-turns-exhausted,757,0.1525,0.0447
all_phases_total,all,context-length,9,0.0018,0.0005
all_phases_total,all,content-filter,13,0.0026,0.0008
all_phases_total,all,invalid-prompt,1,0.0002,0.0001
all_phases_total,all,adapter-parse-error,8,0.0016,0.0005
all_phases_total,all,other,0,0.0000,0.0000
