phase,model,attempts,submitted,compile_ok,run_ok,tooling_excluded,prompt_tokens,completion_tokens,cost_usd
phase2-agentic,codestral-2501,900,713,57,14,0,14730354,724060,5.0708
phase2-agentic,gpt-4.1-mini,772,763,85,36,128,5037166,817802,3.3233
phase2-agentic,gpt-4.1-nano,714,495,25,7,186,9743030,467924,1.1615
phase2-agentic,gpt-5-codex,327,161,64,51,573,2155085,4606545,48.7593
phase2-agentic,grok-4-1-fast,118,118,4,1,782,839277,129019,0.2324
phase2-agentic,llama-3.3-70b-instruct,773,768,44,11,127,6007088,815427,4.8440
phase2-agentic,phi-4,900,847,41,4,0,6334328,1414877,1.4992
phase3-agentic-loop,codestral-2501,900,855,146,43,0,50986768,4206602,19.0820
phase3-agentic-loop,gpt-4.1-mini,638,637,173,109,262,26442713,1560394,13.0737
phase3-agentic-loop,gpt-4.1-nano,716,701,42,19,184,36070159,1284861,4.1210
phase3-agentic-loop,grok-4-1-fast,900,899,240,133,2,27520676,3040432,7.0244
phase3-agentic-loop,llama-3.3-70b-instruct,899,894,121,52,3,42813235,3650184,32.9890
phase3-agentic-loop,phi-4,901,869,65,30,4,25039111,4768170,5.5140
phase4-refactoring,codestral-2501,900,683,146,31,0,54122794,2941860,18.8845
phase4-refactoring,gpt-4.1-mini,846,642,316,153,0,38161758,1728981,18.0311
phase4-refactoring,gpt-4.1-nano,792,553,43,24,0,48276599,1091151,5.2641
phase4-refactoring,grok-4-1-fast,900,692,208,56,0,24264767,2501342,6.1036
phase4-refactoring,llama-3.3-70b-instruct,897,693,121,28,3,38428875,2455870,29.0282
phase4-refactoring,phi-4,900,0,0,0,0,0,0,0.0000
