model,repo,submitted,compile_ok,run_ok,compile_pct,run_pct
codestral-2501,OpenRA,21,4,0,19.0,0.0
codestral-2501,abp,122,29,1,23.8,0.8
codestral-2501,aspnetcore,0,0,0,0.0,0.0
codestral-2501,duplicati,26,9,8,34.6,30.8
codestral-2501,eShop,27,10,0,37.0,0.0
codestral-2501,efcore,3,1,0,33.3,0.0
codestral-2501,garnet,126,18,0,14.3,0.0
codestral-2501,jellyfin,180,25,8,13.9,4.4
codestral-2501,orleans,57,15,7,26.3,12.3
codestral-2501,roslyn,0,0,0,0.0,0.0
codestral-2501,semantic-kernel,121,35,7,28.9,5.8
codestral-2501,server,0,0,0,0.0,0.0
gpt-4.1-mini,OpenRA,21,8,7,38.1,33.3
gpt-4.1-mini,abp,123,56,41,45.5,33.3
gpt-4.1-mini,aspnetcore,0,0,0,0.0,0.0
gpt-4.1-mini,duplicati,27,19,16,70.4,59.3
gpt-4.1-mini,eShop,27,14,0,51.9,0.0
gpt-4.1-mini,efcore,3,3,3,100.0,100.0
gpt-4.1-mini,garnet,128,72,0,56.2,0.0
gpt-4.1-mini,jellyfin,133,45,25,33.8,18.8
gpt-4.1-mini,orleans,57,29,16,50.9,28.1
gpt-4.1-mini,roslyn,0,0,0,0.0,0.0
gpt-4.1-mini,semantic-kernel,123,70,45,56.9,36.6
gpt-4.1-mini,server,0,0,0,0.0,0.0
gpt-4.1-nano,OpenRA,20,0,0,0.0,0.0
gpt-4.1-nano,abp,121,10,10,8.3,8.3
gpt-4.1-nano,aspnetcore,0,0,0,0.0,0.0
gpt-4.1-nano,duplicati,21,2,2,9.5,9.5
gpt-4.1-nano,eShop,27,8,0,29.6,0.0
gpt-4.1-nano,efcore,3,0,0,0.0,0.0
gpt-4.1-nano,garnet,102,5,0,4.9,0.0
gpt-4.1-nano,jellyfin,87,6,5,6.9,5.7
gpt-4.1-nano,orleans,54,6,4,11.1,7.4
gpt-4.1-nano,roslyn,0,0,0,0.0,0.0
gpt-4.1-nano,semantic-kernel,118,6,3,5.1,2.5
gpt-4.1-nano,server,0,0,0,0.0,0.0
grok-4-1-fast,OpenRA,21,5,3,23.8,14.3
grok-4-1-fast,abp,123,37,12,30.1,9.8
grok-4-1-fast,aspnetcore,0,0,0,0.0,0.0
grok-4-1-fast,duplicati,27,15,5,55.6,18.5
grok-4-1-fast,eShop,27,8,0,29.6,0.0
grok-4-1-fast,efcore,3,2,2,66.7,66.7
grok-4-1-fast,garnet,129,49,0,38.0,0.0
grok-4-1-fast,jellyfin,185,40,9,21.6,4.9
grok-4-1-fast,orleans,57,22,11,38.6,19.3
grok-4-1-fast,roslyn,0,0,0,0.0,0.0
grok-4-1-fast,semantic-kernel,120,30,14,25.0,11.7
grok-4-1-fast,server,0,0,0,0.0,0.0
llama-3.3-70b-instruct,OpenRA,21,2,1,9.5,4.8
llama-3.3-70b-instruct,abp,123,28,4,22.8,3.3
llama-3.3-70b-instruct,aspnetcore,0,0,0,0.0,0.0
llama-3.3-70b-instruct,duplicati,27,11,8,40.7,29.6
llama-3.3-70b-instruct,eShop,27,10,0,37.0,0.0
llama-3.3-70b-instruct,efcore,3,1,1,33.3,33.3
llama-3.3-70b-instruct,garnet,129,14,0,10.9,0.0
llama-3.3-70b-instruct,jellyfin,186,16,4,8.6,2.2
llama-3.3-70b-instruct,orleans,57,15,4,26.3,7.0
llama-3.3-70b-instruct,roslyn,0,0,0,0.0,0.0
llama-3.3-70b-instruct,semantic-kernel,123,25,7,20.3,5.7
llama-3.3-70b-instruct,server,0,0,0,0.0,0.0
phi-4,OpenRA,20,3,2,15.0,10.0
phi-4,abp,121,9,2,7.4,1.7
phi-4,aspnetcore,0,0,0,0.0,0.0
phi-4,duplicati,26,8,3,30.8,11.5
phi-4,eShop,27,4,0,14.8,0.0
phi-4,efcore,3,2,0,66.7,0.0
phi-4,garnet,127,13,0,10.2,0.0
phi-4,jellyfin,177,4,1,2.3,0.6
phi-4,orleans,57,2,2,3.5,3.5
phi-4,roslyn,0,0,0,0.0,0.0
phi-4,semantic-kernel,121,5,1,4.1,0.8
phi-4,server,0,0,0,0.0,0.0
