phase,model,run,attempts_total,non_submitted_total,category,count,infra_bucket
phase2-agentic,codestral-2501,1,300,58,timeout/connection,0,1
phase2-agentic,codestral-2501,1,300,58,auth/access,0,1
phase2-agentic,codestral-2501,1,300,58,rate-limit,0,1
phase2-agentic,codestral-2501,1,300,58,server-5xx,0,1
phase2-agentic,codestral-2501,1,300,58,api-version-unsupported,0,1
phase2-agentic,codestral-2501,1,300,58,baseline_compile_failed,0,0
phase2-agentic,codestral-2501,1,300,58,baseline_no_owning_csproj,0,0
phase2-agentic,codestral-2501,1,300,58,max-turns-exhausted,58,0
phase2-agentic,codestral-2501,1,300,58,context-length,0,0
phase2-agentic,codestral-2501,1,300,58,content-filter,0,0
phase2-agentic,codestral-2501,1,300,58,invalid-prompt,0,0
phase2-agentic,codestral-2501,1,300,58,adapter-parse-error,0,0
phase2-agentic,codestral-2501,1,300,58,other,0,0
phase2-agentic,codestral-2501,2,300,64,timeout/connection,0,1
phase2-agentic,codestral-2501,2,300,64,auth/access,0,1
phase2-agentic,codestral-2501,2,300,64,rate-limit,0,1
phase2-agentic,codestral-2501,2,300,64,server-5xx,0,1
phase2-agentic,codestral-2501,2,300,64,api-version-unsupported,0,1
phase2-agentic,codestral-2501,2,300,64,baseline_compile_failed,0,0
phase2-agentic,codestral-2501,2,300,64,baseline_no_owning_csproj,0,0
phase2-agentic,codestral-2501,2,300,64,max-turns-exhausted,61,0
phase2-agentic,codestral-2501,2,300,64,context-length,0,0
phase2-agentic,codestral-2501,2,300,64,content-filter,3,0
phase2-agentic,codestral-2501,2,300,64,invalid-prompt,0,0
phase2-agentic,codestral-2501,2,300,64,adapter-parse-error,0,0
phase2-agentic,codestral-2501,2,300,64,other,0,0
phase2-agentic,codestral-2501,3,300,65,timeout/connection,0,1
phase2-agentic,codestral-2501,3,300,65,auth/access,0,1
phase2-agentic,codestral-2501,3,300,65,rate-limit,0,1
phase2-agentic,codestral-2501,3,300,65,server-5xx,0,1
phase2-agentic,codestral-2501,3,300,65,api-version-unsupported,0,1
phase2-agentic,codestral-2501,3,300,65,baseline_compile_failed,0,0
phase2-agentic,codestral-2501,3,300,65,baseline_no_owning_csproj,0,0
phase2-agentic,codestral-2501,3,300,65,max-turns-exhausted,64,0
phase2-agentic,codestral-2501,3,300,65,context-length,0,0
phase2-agentic,codestral-2501,3,300,65,content-filter,1,0
phase2-agentic,codestral-2501,3,300,65,invalid-prompt,0,0
phase2-agentic,codestral-2501,3,300,65,adapter-parse-error,0,0
phase2-agentic,codestral-2501,3,300,65,other,0,0
phase2-agentic,gpt-4.1-mini,1,300,34,timeout/connection,0,1
phase2-agentic,gpt-4.1-mini,1,300,34,auth/access,0,1
phase2-agentic,gpt-4.1-mini,1,300,34,rate-limit,32,1
phase2-agentic,gpt-4.1-mini,1,300,34,server-5xx,0,1
phase2-agentic,gpt-4.1-mini,1,300,34,api-version-unsupported,0,1
phase2-agentic,gpt-4.1-mini,1,300,34,baseline_compile_failed,0,0
phase2-agentic,gpt-4.1-mini,1,300,34,baseline_no_owning_csproj,0,0
phase2-agentic,gpt-4.1-mini,1,300,34,max-turns-exhausted,2,0
phase2-agentic,gpt-4.1-mini,1,300,34,context-length,0,0
phase2-agentic,gpt-4.1-mini,1,300,34,content-filter,0,0
phase2-agentic,gpt-4.1-mini,1,300,34,invalid-prompt,0,0
phase2-agentic,gpt-4.1-mini,1,300,34,adapter-parse-error,0,0
phase2-agentic,gpt-4.1-mini,1,300,34,other,0,0
phase2-agentic,gpt-4.1-mini,2,300,47,timeout/connection,0,1
phase2-agentic,gpt-4.1-mini,2,300,47,auth/access,0,1
phase2-agentic,gpt-4.1-mini,2,300,47,rate-limit,44,1
phase2-agentic,gpt-4.1-mini,2,300,47,server-5xx,0,1
phase2-agentic,gpt-4.1-mini,2,300,47,api-version-unsupported,0,1
phase2-agentic,gpt-4.1-mini,2,300,47,baseline_compile_failed,0,0
