phase,model,run,attempts_total,non_submitted_total,infra_non_submitted,infra_share_of_attempts,infra_share_of_non_submitted,rerun_signal
phase2-agentic,codestral-2501,1,300,58,0,0.0000,0.0000,green
phase2-agentic,codestral-2501,2,300,64,0,0.0000,0.0000,green
phase2-agentic,codestral-2501,3,300,65,0,0.0000,0.0000,green
phase2-agentic,gpt-4.1-mini,1,300,34,32,0.1067,0.9412,red
phase2-agentic,gpt-4.1-mini,2,300,47,44,0.1467,0.9362,red
phase2-agentic,gpt-4.1-mini,3,300,56,52,0.1733,0.9286,red
phase2-agentic,gpt-4.1-nano,1,300,136,64,0.2133,0.4706,red
phase2-agentic,gpt-4.1-nano,2,300,138,52,0.1733,0.3768,red
phase2-agentic,gpt-4.1-nano,3,300,131,70,0.2333,0.5344,red
phase2-agentic,gpt-5-codex,1,300,245,190,0.6333,0.7755,red
phase2-agentic,gpt-5-codex,2,300,249,193,0.6433,0.7751,red
phase2-agentic,gpt-5-codex,3,300,245,190,0.6333,0.7755,red
phase2-agentic,grok-4-1-fast,1,300,258,258,0.8600,1.0000,red
phase2-agentic,grok-4-1-fast,2,300,261,261,0.8700,1.0000,red
phase2-agentic,grok-4-1-fast,3,300,263,263,0.8767,1.0000,red
phase2-agentic,llama-3.3-70b-instruct,1,300,45,42,0.1400,0.9333,red
phase2-agentic,llama-3.3-70b-instruct,2,300,43,42,0.1400,0.9767,red
phase2-agentic,llama-3.3-70b-instruct,3,300,44,43,0.1433,0.9773,red
phase2-agentic,phi-4,1,300,17,0,0.0000,0.0000,green
phase2-agentic,phi-4,2,300,19,0,0.0000,0.0000,green
phase2-agentic,phi-4,3,300,17,0,0.0000,0.0000,green
