phase,model,run,attempts_total,non_submitted_total,infra_non_submitted,infra_share_of_attempts,infra_share_of_non_submitted,rerun_signal
phase3-agentic-loop,codestral-2501,1,300,15,0,0.0000,0.0000,green
phase3-agentic-loop,codestral-2501,2,300,13,0,0.0000,0.0000,green
phase3-agentic-loop,codestral-2501,3,300,17,0,0.0000,0.0000,green
phase3-agentic-loop,gpt-4.1-mini,1,300,66,66,0.2200,1.0000,red
phase3-agentic-loop,gpt-4.1-mini,2,300,113,113,0.3767,1.0000,red
phase3-agentic-loop,gpt-4.1-mini,3,300,84,83,0.2767,0.9881,red
phase3-agentic-loop,gpt-4.1-nano,1,300,23,15,0.0500,0.6522,red
phase3-agentic-loop,gpt-4.1-nano,2,300,84,79,0.2633,0.9405,red
phase3-agentic-loop,gpt-4.1-nano,3,300,92,90,0.3000,0.9783,red
phase3-agentic-loop,grok-4-1-fast,1,300,1,0,0.0000,0.0000,green
phase3-agentic-loop,grok-4-1-fast,2,300,1,1,0.0033,1.0000,red
phase3-agentic-loop,grok-4-1-fast,3,300,1,1,0.0033,1.0000,red
phase3-agentic-loop,llama-3.3-70b-instruct,1,300,2,1,0.0033,0.5000,red
phase3-agentic-loop,llama-3.3-70b-instruct,2,300,2,0,0.0000,0.0000,green
phase3-agentic-loop,llama-3.3-70b-instruct,3,300,4,2,0.0067,0.5000,red
phase3-agentic-loop,phi-4,1,300,5,0,0.0000,0.0000,green
phase3-agentic-loop,phi-4,2,300,16,3,0.0100,0.1875,yellow
phase3-agentic-loop,phi-4,3,300,15,1,0.0033,0.0667,green
