phase,model,run,attempts_total,non_submitted_total,category,count,infra_bucket
phase4-refactoring,codestral-2501,1,300,73,timeout/connection,0,1
phase4-refactoring,codestral-2501,1,300,73,auth/access,0,1
phase4-refactoring,codestral-2501,1,300,73,rate-limit,0,1
phase4-refactoring,codestral-2501,1,300,73,server-5xx,0,1
phase4-refactoring,codestral-2501,1,300,73,api-version-unsupported,0,1
phase4-refactoring,codestral-2501,1,300,73,baseline_compile_failed,65,0
phase4-refactoring,codestral-2501,1,300,73,baseline_no_owning_csproj,3,0
phase4-refactoring,codestral-2501,1,300,73,max-turns-exhausted,4,0
phase4-refactoring,codestral-2501,1,300,73,context-length,0,0
phase4-refactoring,codestral-2501,1,300,73,content-filter,1,0
phase4-refactoring,codestral-2501,1,300,73,invalid-prompt,0,0
phase4-refactoring,codestral-2501,1,300,73,adapter-parse-error,0,0
phase4-refactoring,codestral-2501,1,300,73,other,0,0
phase4-refactoring,codestral-2501,2,300,71,timeout/connection,0,1
phase4-refactoring,codestral-2501,2,300,71,auth/access,0,1
phase4-refactoring,codestral-2501,2,300,71,rate-limit,0,1
phase4-refactoring,codestral-2501,2,300,71,server-5xx,0,1
phase4-refactoring,codestral-2501,2,300,71,api-version-unsupported,0,1
phase4-refactoring,codestral-2501,2,300,71,baseline_compile_failed,65,0
phase4-refactoring,codestral-2501,2,300,71,baseline_no_owning_csproj,3,0
phase4-refactoring,codestral-2501,2,300,71,max-turns-exhausted,2,0
phase4-refactoring,codestral-2501,2,300,71,context-length,0,0
phase4-refactoring,codestral-2501,2,300,71,content-filter,1,0
phase4-refactoring,codestral-2501,2,300,71,invalid-prompt,0,0
phase4-refactoring,codestral-2501,2,300,71,adapter-parse-error,0,0
phase4-refactoring,codestral-2501,2,300,71,other,0,0
phase4-refactoring,codestral-2501,3,300,73,timeout/connection,0,1
phase4-refactoring,codestral-2501,3,300,73,auth/access,0,1
phase4-refactoring,codestral-2501,3,300,73,rate-limit,0,1
phase4-refactoring,codestral-2501,3,300,73,server-5xx,0,1
phase4-refactoring,codestral-2501,3,300,73,api-version-unsupported,0,1
phase4-refactoring,codestral-2501,3,300,73,baseline_compile_failed,65,0
phase4-refactoring,codestral-2501,3,300,73,baseline_no_owning_csproj,3,0
phase4-refactoring,codestral-2501,3,300,73,max-turns-exhausted,4,0
phase4-refactoring,codestral-2501,3,300,73,context-length,0,0
phase4-refactoring,codestral-2501,3,300,73,content-filter,1,0
phase4-refactoring,codestral-2501,3,300,73,invalid-prompt,0,0
phase4-refactoring,codestral-2501,3,300,73,adapter-parse-error,0,0
phase4-refactoring,codestral-2501,3,300,73,other,0,0
phase4-refactoring,gpt-4.1-mini,1,277,68,timeout/connection,0,1
phase4-refactoring,gpt-4.1-mini,1,277,68,auth/access,0,1
phase4-refactoring,gpt-4.1-mini,1,277,68,rate-limit,0,1
phase4-refactoring,gpt-4.1-mini,1,277,68,server-5xx,0,1
phase4-refactoring,gpt-4.1-mini,1,277,68,api-version-unsupported,0,1
phase4-refactoring,gpt-4.1-mini,1,277,68,baseline_compile_failed,65,0
phase4-refactoring,gpt-4.1-mini,1,277,68,baseline_no_owning_csproj,3,0
phase4-refactoring,gpt-4.1-mini,1,277,68,max-turns-exhausted,0,0
phase4-refactoring,gpt-4.1-mini,1,277,68,context-length,0,0
phase4-refactoring,gpt-4.1-mini,1,277,68,content-filter,0,0
phase4-refactoring,gpt-4.1-mini,1,277,68,invalid-prompt,0,0
phase4-refactoring,gpt-4.1-mini,1,277,68,adapter-parse-error,0,0
phase4-refactoring,gpt-4.1-mini,1,277,68,other,0,0
phase4-refactoring,gpt-4.1-mini,2,286,68,timeout/connection,0,1
phase4-refactoring,gpt-4.1-mini,2,286,68,auth/access,0,1
phase4-refactoring,gpt-4.1-mini,2,286,68,rate-limit,0,1
phase4-refactoring,gpt-4.1-mini,2,286,68,server-5xx,0,1
phase4-refactoring,gpt-4.1-mini,2,286,68,api-version-unsupported,0,1
phase4-refactoring,gpt-4.1-mini,2,286,68,baseline_compile_failed,65,0
phase4-refactoring,gpt-4.1-mini,2,286,68,baseline_no_owning_csproj,3,0
phase4-refactoring,gpt-4.1-mini,2,286,68,max-turns-exhausted,0,0
phase4-refactoring,gpt-4.1-mini,2,286,68,context-length,0,0
phase4-refactoring,gpt-4.1-mini,2,286,68,content-filter,0,0
phase4-refactoring,gpt-4.1-mini,2,286,68,invalid-prompt,0,0
phase4-refactoring,gpt-4.1-mini,2,286,68,adapter-parse-error,0,0
phase4-refactoring,gpt-4.1-mini,2,286,68,other,0,0
phase4-refactoring,gpt-4.1-mini,3,283,68,timeout/connection,0,1
phase4-refactoring,gpt-4.1-mini,3,283,68,auth/access,0,1
phase4-refactoring,gpt-4.1-mini,3,283,68,rate-limit,0,1
phase4-refactoring,gpt-4.1-mini,3,283,68,server-5xx,0,1
phase4-refactoring,gpt-4.1-mini,3,283,68,api-version-unsupported,0,1
phase4-refactoring,gpt-4.1-mini,3,283,68,baseline_compile_failed,65,0
phase4-refactoring,gpt-4.1-mini,3,283,68,baseline_no_owning_csproj,3,0
phase4-refactoring,gpt-4.1-mini,3,283,68,max-turns-exhausted,0,0
phase4-refactoring,gpt-4.1-mini,3,283,68,context-length,0,0
phase4-refactoring,gpt-4.1-mini,3,283,68,content-filter,0,0
phase4-refactoring,gpt-4.1-mini,3,283,68,invalid-prompt,0,0
phase4-refactoring,gpt-4.1-mini,3,283,68,adapter-parse-error,0,0
phase4-refactoring,gpt-4.1-mini,3,283,68,other,0,0
phase4-refactoring,gpt-4.1-nano,1,268,80,timeout/connection,0,1
phase4-refactoring,gpt-4.1-nano,1,268,80,auth/access,0,1
phase4-refactoring,gpt-4.1-nano,1,268,80,rate-limit,0,1
phase4-refactoring,gpt-4.1-nano,1,268,80,server-5xx,0,1
phase4-refactoring,gpt-4.1-nano,1,268,80,api-version-unsupported,0,1
phase4-refactoring,gpt-4.1-nano,1,268,80,baseline_compile_failed,65,0
phase4-refactoring,gpt-4.1-nano,1,268,80,baseline_no_owning_csproj,3,0
phase4-refactoring,gpt-4.1-nano,1,268,80,max-turns-exhausted,12,0
phase4-refactoring,gpt-4.1-nano,1,268,80,context-length,0,0
phase4-refactoring,gpt-4.1-nano,1,268,80,content-filter,0,0
phase4-refactoring,gpt-4.1-nano,1,268,80,invalid-prompt,0,0
phase4-refactoring,gpt-4.1-nano,1,268,80,adapter-parse-error,0,0
phase4-refactoring,gpt-4.1-nano,1,268,80,other,0,0
phase4-refactoring,gpt-4.1-nano,2,266,76,timeout/connection,0,1
phase4-refactoring,gpt-4.1-nano,2,266,76,auth/access,0,1
phase4-refactoring,gpt-4.1-nano,2,266,76,rate-limit,0,1
phase4-refactoring,gpt-4.1-nano,2,266,76,server-5xx,0,1
phase4-refactoring,gpt-4.1-nano,2,266,76,api-version-unsupported,0,1
phase4-refactoring,gpt-4.1-nano,2,266,76,baseline_compile_failed,65,0
phase4-refactoring,gpt-4.1-nano,2,266,76,baseline_no_owning_csproj,3,0
phase4-refactoring,gpt-4.1-nano,2,266,76,max-turns-exhausted,8,0
phase4-refactoring,gpt-4.1-nano,2,266,76,context-length,0,0
phase4-refactoring,gpt-4.1-nano,2,266,76,content-filter,0,0
phase4-refactoring,gpt-4.1-nano,2,266,76,invalid-prompt,0,0
phase4-refactoring,gpt-4.1-nano,2,266,76,adapter-parse-error,0,0
phase4-refactoring,gpt-4.1-nano,2,266,76,other,0,0
phase4-refactoring,gpt-4.1-nano,3,258,83,timeout/connection,0,1
phase4-refactoring,gpt-4.1-nano,3,258,83,auth/access,0,1
phase4-refactoring,gpt-4.1-nano,3,258,83,rate-limit,0,1
phase4-refactoring,gpt-4.1-nano,3,258,83,server-5xx,0,1
phase4-refactoring,gpt-4.1-nano,3,258,83,api-version-unsupported,0,1
phase4-refactoring,gpt-4.1-nano,3,258,83,baseline_compile_failed,65,0
phase4-refactoring,gpt-4.1-nano,3,258,83,baseline_no_owning_csproj,3,0
phase4-refactoring,gpt-4.1-nano,3,258,83,max-turns-exhausted,15,0
phase4-refactoring,gpt-4.1-nano,3,258,83,context-length,0,0
phase4-refactoring,gpt-4.1-nano,3,258,83,content-filter,0,0
phase4-refactoring,gpt-4.1-nano,3,258,83,invalid-prompt,0,0
phase4-refactoring,gpt-4.1-nano,3,258,83,adapter-parse-error,0,0
phase4-refactoring,gpt-4.1-nano,3,258,83,other,0,0
phase4-refactoring,grok-4-1-fast,1,300,69,timeout/connection,0,1
phase4-refactoring,grok-4-1-fast,1,300,69,auth/access,0,1
phase4-refactoring,grok-4-1-fast,1,300,69,rate-limit,0,1
phase4-refactoring,grok-4-1-fast,1,300,69,server-5xx,0,1
phase4-refactoring,grok-4-1-fast,1,300,69,api-version-unsupported,0,1
phase4-refactoring,grok-4-1-fast,1,300,69,baseline_compile_failed,65,0
phase4-refactoring,grok-4-1-fast,1,300,69,baseline_no_owning_csproj,3,0
phase4-refactoring,grok-4-1-fast,1,300,69,max-turns-exhausted,1,0
phase4-refactoring,grok-4-1-fast,1,300,69,context-length,0,0
phase4-refactoring,grok-4-1-fast,1,300,69,content-filter,0,0
phase4-refactoring,grok-4-1-fast,1,300,69,invalid-prompt,0,0
phase4-refactoring,grok-4-1-fast,1,300,69,adapter-parse-error,0,0
phase4-refactoring,grok-4-1-fast,1,300,69,other,0,0
phase4-refactoring,grok-4-1-fast,2,300,69,timeout/connection,0,1
phase4-refactoring,grok-4-1-fast,2,300,69,auth/access,0,1
phase4-refactoring,grok-4-1-fast,2,300,69,rate-limit,0,1
phase4-refactoring,grok-4-1-fast,2,300,69,server-5xx,0,1
phase4-refactoring,grok-4-1-fast,2,300,69,api-version-unsupported,0,1
phase4-refactoring,grok-4-1-fast,2,300,69,baseline_compile_failed,65,0
phase4-refactoring,grok-4-1-fast,2,300,69,baseline_no_owning_csproj,3,0
phase4-refactoring,grok-4-1-fast,2,300,69,max-turns-exhausted,1,0
phase4-refactoring,grok-4-1-fast,2,300,69,context-length,0,0
phase4-refactoring,grok-4-1-fast,2,300,69,content-filter,0,0
phase4-refactoring,grok-4-1-fast,2,300,69,invalid-prompt,0,0
phase4-refactoring,grok-4-1-fast,2,300,69,adapter-parse-error,0,0
phase4-refactoring,grok-4-1-fast,2,300,69,other,0,0
phase4-refactoring,grok-4-1-fast,3,300,70,timeout/connection,0,1
phase4-refactoring,grok-4-1-fast,3,300,70,auth/access,0,1
phase4-refactoring,grok-4-1-fast,3,300,70,rate-limit,0,1
phase4-refactoring,grok-4-1-fast,3,300,70,server-5xx,0,1
phase4-refactoring,grok-4-1-fast,3,300,70,api-version-unsupported,0,1
phase4-refactoring,grok-4-1-fast,3,300,70,baseline_compile_failed,65,0
phase4-refactoring,grok-4-1-fast,3,300,70,baseline_no_owning_csproj,3,0
phase4-refactoring,grok-4-1-fast,3,300,70,max-turns-exhausted,2,0
phase4-refactoring,grok-4-1-fast,3,300,70,context-length,0,0
phase4-refactoring,grok-4-1-fast,3,300,70,content-filter,0,0
phase4-refactoring,grok-4-1-fast,3,300,70,invalid-prompt,0,0
phase4-refactoring,grok-4-1-fast,3,300,70,adapter-parse-error,0,0
phase4-refactoring,grok-4-1-fast,3,300,70,other,0,0
phase4-refactoring,llama-3.3-70b-instruct,1,300,69,timeout/connection,0,1
phase4-refactoring,llama-3.3-70b-instruct,1,300,69,auth/access,0,1
phase4-refactoring,llama-3.3-70b-instruct,1,300,69,rate-limit,1,1
phase4-refactoring,llama-3.3-70b-instruct,1,300,69,server-5xx,0,1
phase4-refactoring,llama-3.3-70b-instruct,1,300,69,api-version-unsupported,0,1
phase4-refactoring,llama-3.3-70b-instruct,1,300,69,baseline_compile_failed,65,0
phase4-refactoring,llama-3.3-70b-instruct,1,300,69,baseline_no_owning_csproj,3,0
